,,PM2.5,PM10,CO,NO2,SO2,O3,time
1175,1175,81,139,1.18,67,19,26,2019/1/2 9:00
1176,1176,80,127,1.09,66,18,30,2019/1/2 10:00
1177,1177,80,114,1.07,56,20,42,2019/1/2 11:00
1178,1178,77,121,1.05,80,20,35,2019/1/2 12:00
1179,1179,79,147,1.02,72,20,33,2019/1/2 13:00
1180,1180,78,139,1.06,74,21,29,2019/1/2 14:00
1181,1181,80,131,1.14,78,23,23,2019/1/2 15:00
1182,1182,84,141,1.36,86,26,13,2019/1/2 16:00
1183,1183,86,141,1.56,100,26,6,2019/1/2 17:00
1184,1184,103,161,1.43,97,23,12,2019/1/2 18:00
1185,1185,108,154,1.32,67,20,22,2019/1/2 19:00
1186,1186,110,153,1.35,64,19,19,2019/1/2 20:00
1187,1187,118,166,1.34,71,18,12,2019/1/2 21:00
1188,1188,116,162,1.3,68,17,10,2019/1/2 22:00
1189,1189,119,157,1.27,63,17,12,2019/1/2 23:00
1190,1190,118,157,1.29,63,17,7,2019/1/3 0:00
1191,1191,124,160,1.3,63,17,6,2019/1/3 1:00
1192,1192,126,165,1.31,68,18,3,2019/1/3 2:00
1193,1193,124,175,1.34,70,18,3,2019/1/3 3:00
1194,1194,130,169,1.32,65,18,6,2019/1/3 4:00
1195,1195,129,158,1.38,68,18,4,2019/1/3 5:00
1196,1196,118,161,1.4,76,18,5,2019/1/3 6:00
1197,1197,113,164,1.34,79,20,11,2019/1/3 7:00
1198,1198,109,179,1.32,75,21,15,2019/1/3 8:00
1199,1199,105,150,1.42,68,21,19,2019/1/3 9:00
1200,1200,104,149,1.46,60,19,26,2019/1/3 10:00
1201,1201,106,134,1.38,54,17,33,2019/1/3 11:00
1202,1202,95,126,1.31,68,16,25,2019/1/3 12:00
1203,1203,99,130,1.25,67,15,25,2019/1/3 13:00
1204,1204,84,121,1.21,68,15,22,2019/1/3 14:00
1205,1205,80,123,1.25,73,14,18,2019/1/3 15:00
1206,1206,83,121,1.38,74,14,14,2019/1/3 16:00
1207,1207,78,122,1.32,79,14,5,2019/1/3 17:00
1208,1208,83,130,1.39,81,15,3,2019/1/3 18:00
1209,1209,85,141,1.46,84,14,3,2019/1/3 19:00
1210,1210,89,125,1.43,83,14,2,2019/1/3 20:00
1211,1211,80,116,1.33,80,14,2,2019/1/3 21:00
1212,1212,68,110,1.27,77,14,2,2019/1/3 22:00
1213,1213,73,104,1.36,79,11,2,2019/1/3 23:00
1214,1214,75,95,1.42,78,11,3,2019/1/4 0:00
1215,1215,67,82,1.4,76,10,2,2019/1/4 1:00
1216,1216,69,82,1.39,72,9,2,2019/1/4 2:00
1217,1217,62,64,1.39,70,9,2,2019/1/4 3:00
1218,1218,59,58,1.45,69,9,2,2019/1/4 4:00
1219,1219,63,61,1.36,66,9,2,2019/1/4 5:00
1220,1220,62,62,1.37,64,12,2,2019/1/4 6:00
1221,1221,64,61,1.36,61,12,2,2019/1/4 7:00
1222,1222,76,73,1.24,59,10,5,2019/1/4 8:00
1223,1223,71,72,1.13,58,11,6,2019/1/4 9:00
1224,1224,68,67,1.2,60,9,6,2019/1/4 10:00
1225,1225,96,114,1.43,63,9,6,2019/1/4 11:00
1226,1226,98,116,1.16,58,8,10,2019/1/4 12:00
1227,1227,57,65,1.05,52,8,12,2019/1/4 13:00
1228,1228,63,64,0.99,42,8,14,2019/1/4 14:00
1229,1229,45,52,1.07,40,8,11,2019/1/4 15:00
1230,1230,52,54,1.32,47,8,5,2019/1/4 16:00
1231,1231,46,45,1.2,47,8,6,2019/1/4 17:00
1232,1232,33,35,1.09,46,8,6,2019/1/4 18:00
1233,1233,26,22,1.22,48,8,4,2019/1/4 19:00
1234,1234,36,34,1.11,46,8,4,2019/1/4 20:00
1235,1235,28,30,1.22,46,7,5,2019/1/4 21:00
1236,1236,42,38,1.14,39,7,11,2019/1/4 22:00
1237,1237,34,31,1.18,34,7,17,2019/1/4 23:00
1238,1238,33,33,1.38,36,7,12,2019/1/5 0:00
1239,1239,37,44,1.63,38,7,7,2019/1/5 1:00
1240,1240,53,48,1.83,39,7,7,2019/1/5 2:00
1241,1241,48,43,1.93,37,7,9,2019/1/5 3:00
1242,1242,39,39,1.86,30,7,17,2019/1/5 4:00
1243,1243,44,35,2.02,38,7,9,2019/1/5 5:00
1244,1244,54,54,1.93,42,7,8,2019/1/5 6:00
1245,1245,66,66,1.96,47,7,7,2019/1/5 7:00
1246,1246,73,77,1.97,54,8,8,2019/1/5 8:00
1247,1247,79,80,1.98,55,9,8,2019/1/5 9:00
1248,1248,93,98,2.04,60,9,10,2019/1/5 10:00
1249,1249,102,102,2.02,53,9,20,2019/1/5 11:00
1250,1250,101,101,1.98,52,9,23,2019/1/5 12:00
1251,1251,104,95,1.97,51,9,24,2019/1/5 13:00
1252,1252,103,101,1.93,51,8,22,2019/1/5 14:00
1253,1253,99,95,1.89,56,8,13,2019/1/5 15:00
1254,1254,87,90,1.89,54,8,11,2019/1/5 16:00
1255,1255,,,,,,,2019/1/5 17:00
1256,1256,,,,,,,2019/1/5 18:00
1257,1257,56,58,2.8,50,9,2,2019/1/5 19:00
1258,1258,76,76,2.68,47,9,2,2019/1/5 20:00
1259,1259,86,89,2.24,45,8,3,2019/1/5 21:00
1260,1260,55,46,2.01,42,8,3,2019/1/5 22:00
1261,1261,49,47,2.22,42,9,2,2019/1/5 23:00
1262,1262,61,62,2.1,41,8,2,2019/1/6 0:00
1263,1263,68,73,2.23,43,9,2,2019/1/6 1:00
1264,1264,80,84,2.09,40,8,2,2019/1/6 2:00
1265,1265,80,82,2.08,40,8,2,2019/1/6 3:00
1266,1266,84,89,2.05,40,9,2,2019/1/6 4:00
1267,1267,75,87,2.1,42,8,2,2019/1/6 5:00
1268,1268,87,99,2.02,43,8,2,2019/1/6 6:00
1269,1269,72,90,1.86,40,8,4,2019/1/6 7:00
1270,1270,79,106,1.81,38,8,6,2019/1/6 8:00
1271,1271,81,94,2.52,37,8,6,2019/1/6 9:00
1272,1272,127,151,2.02,43,8,12,2019/1/6 10:00
1273,1273,85,95,1.64,46,9,18,2019/1/6 11:00
1274,1274,69,76,1.45,41,9,30,2019/1/6 12:00
1275,1275,56,59,1.42,50,9,24,2019/1/6 13:00
1276,1276,62,70,1.42,58,8,17,2019/1/6 14:00
1277,1277,61,75,1.61,64,8,8,2019/1/6 15:00
1278,1278,78,94,1.86,65,7,5,2019/1/6 16:00
1279,1279,80,105,1.92,68,8,3,2019/1/6 17:00
1280,1280,84,106,1.73,61,7,6,2019/1/6 18:00
1281,1281,68,86,1.55,55,7,8,2019/1/6 19:00
1282,1282,55,66,1.46,59,7,8,2019/1/6 20:00
1283,1283,49,62,1.31,57,8,2,2019/1/6 21:00
1284,1284,63,70,1.19,53,8,2,2019/1/6 22:00
1285,1285,56,63,1.14,50,7,3,2019/1/6 23:00
1286,1286,50,65,1.1,50,8,2,2019/1/7 0:00
1287,1287,56,58,1.08,47,8,2,2019/1/7 1:00
1288,1288,51,59,1.05,46,8,3,2019/1/7 2:00
1289,1289,50,59,0.95,43,8,2,2019/1/7 3:00
1290,1290,50,63,0.86,39,8,3,2019/1/7 4:00
1291,1291,60,77,0.83,41,8,5,2019/1/7 5:00
1292,1292,68,74,0.88,42,8,6,2019/1/7 6:00
1293,1293,62,74,0.97,37,9,13,2019/1/7 7:00
1294,1294,54,75,0.94,37,9,23,2019/1/7 8:00
1295,1295,43,51,0.91,34,9,31,2019/1/7 9:00
1296,1296,40,55,0.94,42,8,27,2019/1/7 10:00
1297,1297,40,52,0.9,43,8,24,2019/1/7 11:00
1298,1298,46,56,0.94,53,10,14,2019/1/7 12:00
1299,1299,59,79,1.01,56,9,12,2019/1/7 13:00
1300,1300,59,81,1.07,55,10,10,2019/1/7 14:00
1301,1301,66,84,1.1,56,9,5,2019/1/7 15:00
1302,1302,71,87,1.12,56,10,5,2019/1/7 16:00
1303,1303,,,,,,,2019/1/7 17:00
1304,1304,,,,,,,2019/1/7 18:00
1305,1305,,,,,,,2019/1/7 19:00
1306,1306,44,42,0.98,40,7,20,2019/1/7 20:00
1307,1307,51,55,0.97,39,6,19,2019/1/7 21:00
1308,1308,47,60,0.98,43,6,15,2019/1/7 22:00
1309,1309,51,49,0.95,31,7,27,2019/1/7 23:00
1310,1310,47,44,0.87,24,7,43,2019/1/8 0:00
1311,1311,37,48,0.87,25,7,38,2019/1/8 1:00
1312,1312,47,47,0.89,25,7,34,2019/1/8 2:00
1313,1313,38,47,0.99,39,8,18,2019/1/8 3:00
1314,1314,52,51,1.16,43,8,9,2019/1/8 4:00
1315,1315,59,65,1.29,35,10,18,2019/1/8 5:00
1316,1316,78,82,1.53,55,13,7,2019/1/8 6:00
1317,1317,96,106,1.63,57,14,8,2019/1/8 7:00
1318,1318,99,106,1.46,48,13,20,2019/1/8 8:00
1319,1319,,,,,,,2019/1/8 9:00
1320,1320,93,114,1.52,48,16,30,2019/1/8 10:00
1321,1321,115,132,1.72,48,26,37,2019/1/8 11:00
1322,1322,144,164,2.01,52,28,38,2019/1/8 12:00
1323,1323,154,187,2.14,56,27,43,2019/1/8 13:00
1324,1324,153,187,2.03,63,24,41,2019/1/8 14:00
1325,1325,144,187,1.86,70,20,30,2019/1/8 15:00
1326,1326,144,186,1.86,80,18,22,2019/1/8 16:00
1327,1327,135,176,1.76,78,17,24,2019/1/8 17:00
1328,1328,116,152,1.43,60,16,32,2019/1/8 18:00
1329,1329,80,98,1.38,54,13,26,2019/1/8 19:00
1330,1330,67,86,1.36,55,12,19,2019/1/8 20:00
1331,1331,61,85,1.42,51,13,19,2019/1/8 21:00
1332,1332,53,69,1.34,46,12,19,2019/1/8 22:00
1333,1333,51,74,1.15,35,12,29,2019/1/8 23:00
1334,1334,35,52,1.11,34,11,31,2019/1/9 0:00
1335,1335,33,53,1.1,30,11,33,2019/1/9 1:00
1336,1336,32,55,1.1,28,9,32,2019/1/9 2:00
1337,1337,32,45,1.1,26,9,29,2019/1/9 3:00
1338,1338,39,42,1,26,8,28,2019/1/9 4:00
1339,1339,31,32,0.93,28,8,25,2019/1/9 5:00
1340,1340,28,25,1.03,40,8,12,2019/1/9 6:00
1341,1341,27,27,1.01,38,7,15,2019/1/9 7:00
1342,1342,30,26,1.07,41,8,15,2019/1/9 8:00
1343,1343,19,25,1.1,43,8,12,2019/1/9 9:00
1344,1344,24,16,1.17,45,8,11,2019/1/9 10:00
1345,1345,26,24,1.13,44,8,12,2019/1/9 11:00
1346,1346,38,35,1.08,45,8,12,2019/1/9 12:00
1347,1347,28,24,1.09,48,8,9,2019/1/9 13:00
1348,1348,26,22,1.07,54,8,7,2019/1/9 14:00
1349,1349,26,18,1.1,57,8,6,2019/1/9 15:00
1350,1350,20,25,1.09,59,8,5,2019/1/9 16:00
1351,1351,26,25,1.06,60,8,4,2019/1/9 17:00
1352,1352,33,24,0.97,58,8,4,2019/1/9 18:00
1353,1353,31,27,0.76,54,7,6,2019/1/9 19:00
1354,1354,35,28,0.72,57,7,4,2019/1/9 20:00
1355,1355,33,28,0.67,51,7,6,2019/1/9 21:00
1356,1356,24,25,0.64,46,7,7,2019/1/9 22:00
1357,1357,29,20,0.66,44,7,6,2019/1/9 23:00
1358,1358,32,29,0.65,43,7,6,2019/1/10 0:00
1359,1359,26,31,0.61,40,7,8,2019/1/10 1:00
1360,1360,24,22,0.63,43,7,5,2019/1/10 2:00
1361,1361,24,22,0.59,36,7,9,2019/1/10 3:00
1362,1362,25,25,0.65,36,7,12,2019/1/10 4:00
1363,1363,30,27,0.63,40,7,7,2019/1/10 5:00
1364,1364,36,31,0.74,47,7,4,2019/1/10 6:00
1365,1365,34,34,0.77,48,7,5,2019/1/10 7:00
1366,1366,32,42,0.82,47,8,7,2019/1/10 8:00
1367,1367,41,54,0.83,44,7,11,2019/1/10 9:00
1368,1368,39,38,0.84,38,8,16,2019/1/10 10:00
1369,1369,48,48,0.84,40,8,16,2019/1/10 11:00
1370,1370,35,40,0.89,48,8,11,2019/1/10 12:00
1371,1371,42,52,0.9,57,10,8,2019/1/10 13:00
1372,1372,61,76,0.88,60,12,10,2019/1/10 14:00
1373,1373,54,70,0.87,56,11,8,2019/1/10 15:00
1374,1374,54,70,0.87,56,11,8,2019/1/10 16:00
1375,1375,51,59,0.97,56,9,3,2019/1/10 17:00
1376,1376,50,56,1.07,55,9,3,2019/1/10 18:00
1377,1377,53,57,1.02,50,8,3,2019/1/10 19:00
1378,1378,48,58,1.04,50,8,4,2019/1/10 20:00
1379,1379,59,76,1.04,48,8,4,2019/1/10 21:00
1380,1380,55,75,1,47,8,2,2019/1/10 22:00
1381,1381,56,79,0.88,43,7,3,2019/1/10 23:00
1382,1382,58,78,0.86,41,7,3,2019/1/11 0:00
1383,1383,42,52,0.86,41,7,2,2019/1/11 1:00
1384,1384,42,48,0.85,41,7,2,2019/1/11 2:00
1385,1385,37,39,0.8,38,7,3,2019/1/11 3:00
1386,1386,22,20,0.82,37,7,3,2019/1/11 4:00
1387,1387,25,25,0.85,37,8,3,2019/1/11 5:00
1388,1388,29,24,0.92,38,8,2,2019/1/11 6:00
1389,1389,30,24,0.96,40,8,3,2019/1/11 7:00
1390,1390,32,29,1,37,8,4,2019/1/11 8:00
1391,1391,,,,,,,2019/1/11 9:00
1392,1392,,,,,,,2019/1/11 10:00
1393,1393,,,,,,,2019/1/11 11:00
1394,1394,,,,,,,2019/1/11 12:00
1395,1395,,,,,,,2019/1/11 13:00
1396,1396,,,,,,,2019/1/11 14:00
1397,1397,,,,,,,2019/1/11 15:00
1398,1398,,,,,,,2019/1/11 16:00
1399,1399,,,,,,,2019/1/11 17:00
1400,1400,,,,,,,2019/1/11 18:00
1401,1401,,,,,,,2019/1/11 19:00
1402,1402,,,,,,,2019/1/11 20:00
1403,1403,,,,,,,2019/1/11 21:00
1404,1404,,,,,,,2019/1/11 22:00
1405,1405,,,,,,,2019/1/11 23:00
1406,1406,,,,,,,2019/1/12 0:00
1407,1407,,,,,,,2019/1/12 1:00
1408,1408,,,,,,,2019/1/12 2:00
1409,1409,,,,,,,2019/1/12 3:00
1410,1410,,,,,,,2019/1/12 4:00
1411,1411,,,,,,,2019/1/12 5:00
1412,1412,,,,,,,2019/1/12 6:00
1413,1413,,,,,,,2019/1/12 7:00
1414,1414,,,,,,,2019/1/12 8:00
1415,1415,,,,,,,2019/1/12 9:00
1416,1416,,,,,,,2019/1/12 10:00
1417,1417,,,,,,,2019/1/12 11:00
1418,1418,,,,,,,2019/1/12 12:00
1419,1419,,,,,,,2019/1/12 13:00
1420,1420,,,,,,,2019/1/12 14:00
1421,1421,,,,,,,2019/1/12 15:00
1422,1422,,,,,,,2019/1/12 16:00
1423,1423,,,,,,,2019/1/12 17:00
1424,1424,,,,,,,2019/1/12 18:00
1425,1425,,,,,,,2019/1/12 19:00
1426,1426,,,,,,,2019/1/12 20:00
1427,1427,,,,,,,2019/1/12 21:00
1428,1428,,,,,,,2019/1/12 22:00
1429,1429,,,,,,,2019/1/12 23:00
1430,1430,,,,,,,2019/1/13 0:00
1431,1431,,,,,,,2019/1/13 1:00
1432,1432,,,,,,,2019/1/13 2:00
1433,1433,,,,,,,2019/1/13 3:00
1434,1434,,,,,,,2019/1/13 4:00
1435,1435,,,,,,,2019/1/13 5:00
1436,1436,,,,,,,2019/1/13 6:00
1437,1437,,,,,,,2019/1/13 7:00
1438,1438,,,,,,,2019/1/13 8:00
1439,1439,,,,,,,2019/1/13 9:00
1440,1440,,,,,,,2019/1/13 10:00
1441,1441,,,,,,,2019/1/13 11:00
1442,1442,,,,,,,2019/1/13 12:00
1443,1443,,,,,,,2019/1/13 13:00
1444,1444,,,,,,,2019/1/13 14:00
1445,1445,,,,,,,2019/1/13 15:00
1446,1446,,,,,,,2019/1/13 16:00
1447,1447,,,,,,,2019/1/13 17:00
1448,1448,,,,,,,2019/1/13 18:00
1449,1449,,,,,,,2019/1/13 19:00
1450,1450,,,,,,,2019/1/13 20:00
1451,1451,,,,,,,2019/1/13 21:00
1452,1452,,,,,,,2019/1/13 22:00
1453,1453,,,,,,,2019/1/13 23:00
1454,1454,,,,,,,2019/1/14 0:00
1455,1455,,,,,,,2019/1/14 1:00
1456,1456,,,,,,,2019/1/14 2:00
1457,1457,,,,,,,2019/1/14 3:00
1458,1458,,,,,,,2019/1/14 4:00
1459,1459,,,,,,,2019/1/14 5:00
1460,1460,,,,,,,2019/1/14 6:00
1461,1461,,,,,,,2019/1/14 7:00
1462,1462,118,193,1.8,64,10,9,2019/1/14 8:00
1463,1463,132,172,1.91,62,11,14,2019/1/14 9:00
1464,1464,145,180,1.8,54,11,24,2019/1/14 10:00
1465,1465,,,,,,,2019/1/14 11:00
1466,1466,,,,,,,2019/1/14 12:00
1467,1467,,,,,,,2019/1/14 13:00
1468,1468,128,150,1.55,49,12,28,2019/1/14 14:00
1469,1469,116,149,1.61,56,11,21,2019/1/14 15:00
1470,1470,128,167,1.78,73,13,10,2019/1/14 16:00
1471,1471,133,172,1.67,66,13,14,2019/1/14 17:00
1472,1472,137,180,1.65,71,12,6,2019/1/14 18:00
1473,1473,148,194,1.65,74,11,3,2019/1/14 19:00
1474,1474,155,193,1.55,70,11,3,2019/1/14 20:00
1475,1475,148,189,1.52,55,10,10,2019/1/14 21:00
1476,1476,149,179,1.54,38,10,21,2019/1/14 22:00
1477,1477,141,166,1.59,35,9,21,2019/1/14 23:00
1478,1478,134,161,1.58,33,9,20,2019/1/15 0:00
1479,1479,141,158,1.55,31,9,22,2019/1/15 1:00
1480,1480,122,148,1.67,43,9,8,2019/1/15 2:00
1481,1481,152,170,1.75,42,9,6,2019/1/15 3:00
1482,1482,151,178,1.71,34,10,16,2019/1/15 4:00
1483,1483,170,193,1.64,34,10,16,2019/1/15 5:00
1484,1484,169,194,1.81,45,10,5,2019/1/15 6:00
1485,1485,182,215,2.03,53,11,3,2019/1/15 7:00
1486,1486,200,241,1.96,47,11,9,2019/1/15 8:00
1487,1487,202,235,1.9,36,12,32,2019/1/15 9:00
1488,1488,198,227,2.18,39,14,32,2019/1/15 10:00
1489,1489,237,278,2.35,42,16,32,2019/1/15 11:00
1490,1490,246,289,2.38,48,15,31,2019/1/15 12:00
1491,1491,229,281,2.2,52,15,32,2019/1/15 13:00
1492,1492,195,245,1.72,44,13,40,2019/1/15 14:00
1493,1493,133,191,1.41,47,12,32,2019/1/15 15:00
1494,1494,83,156,1.12,34,12,37,2019/1/15 16:00
1495,1495,56,126,0.86,24,11,40,2019/1/15 17:00
1496,1496,46,106,0.7,19,11,38,2019/1/15 18:00
1497,1497,42,93,0.63,16,11,37,2019/1/15 19:00
1498,1498,38,80,0.63,15,11,35,2019/1/15 20:00
1499,1499,46,78,0.58,12,10,34,2019/1/15 21:00
1500,1500,43,68,0.59,13,10,33,2019/1/15 22:00
1501,1501,31,58,0.6,10,11,37,2019/1/15 23:00
1502,1502,31,64,0.58,9,10,38,2019/1/16 0:00
1503,1503,29,57,0.63,12,10,33,2019/1/16 1:00
1504,1504,32,55,0.68,11,10,31,2019/1/16 2:00
1505,1505,34,51,0.72,13,11,28,2019/1/16 3:00
1506,1506,30,47,0.73,13,10,27,2019/1/16 4:00
1507,1507,23,42,0.73,20,10,21,2019/1/16 5:00
1508,1508,28,46,0.84,29,10,16,2019/1/16 6:00
1509,1509,38,63,0.86,27,10,18,2019/1/16 7:00
1510,1510,28,76,0.82,34,11,21,2019/1/16 8:00
1511,1511,28,75,0.7,34,11,28,2019/1/16 9:00
1512,1512,34,75,0.68,32,10,32,2019/1/16 10:00
1513,1513,31,72,0.79,30,10,35,2019/1/16 11:00
1514,1514,38,89,0.86,32,10,37,2019/1/16 12:00
1515,1515,46,102,0.88,34,9,35,2019/1/16 13:00
1516,1516,50,105,0.85,34,10,35,2019/1/16 14:00
1517,1517,50,100,0.85,35,10,37,2019/1/16 15:00
1518,1518,48,98,0.89,39,10,32,2019/1/16 16:00
1519,1519,39,106,0.96,46,10,25,2019/1/16 17:00
1520,1520,51,104,1.16,56,9,12,2019/1/16 18:00
1521,1521,52,106,1.26,71,10,4,2019/1/16 19:00
1522,1522,53,112,1.3,78,10,3,2019/1/16 20:00
1523,1523,51,120,1.66,80,11,3,2019/1/16 21:00
1524,1524,55,131,1.55,75,10,2,2019/1/16 22:00
1525,1525,55,116,1.48,68,10,3,2019/1/16 23:00
1526,1526,54,96,1.35,63,9,2,2019/1/17 0:00
1527,1527,48,99,1.43,66,12,2,2019/1/17 1:00
1528,1528,62,141,1.32,68,15,2,2019/1/17 2:00
1529,1529,68,158,1.13,64,14,2,2019/1/17 3:00
1530,1530,62,123,1.1,61,11,2,2019/1/17 4:00
1531,1531,58,111,1.16,57,11,2,2019/1/17 5:00
1532,1532,61,135,1.35,58,12,3,2019/1/17 6:00
1533,1533,76,182,1.33,61,14,2,2019/1/17 7:00
1534,1534,69,180,1.25,55,16,5,2019/1/17 8:00
1535,1535,73,178,1.98,55,25,10,2019/1/17 9:00
1536,1536,85,168,1.22,54,19,19,2019/1/17 10:00
1537,1537,69,134,0.98,43,16,34,2019/1/17 11:00
1538,1538,57,113,0.89,43,14,40,2019/1/17 12:00
1539,1539,49,125,0.85,49,14,41,2019/1/17 13:00
1540,1540,58,109,0.75,36,12,54,2019/1/17 14:00
1541,1541,46,113,0.82,36,11,54,2019/1/17 15:00
1542,1542,55,115,0.96,64,12,24,2019/1/17 16:00
1543,1543,61,129,1.42,107,13,6,2019/1/17 17:00
1544,1544,79,185,2.03,108,14,4,2019/1/17 18:00
1545,1545,82,193,2.33,106,15,3,2019/1/17 19:00
1546,1546,89,225,2.33,104,15,3,2019/1/17 20:00
1547,1547,84,186,2.25,97,16,2,2019/1/17 21:00
1548,1548,88,185,1.98,89,16,2,2019/1/17 22:00
1549,1549,79,175,1.9,81,16,2,2019/1/17 23:00
1550,1550,78,163,1.88,77,15,2,2019/1/18 0:00
1551,1551,81,150,1.66,71,14,2,2019/1/18 1:00
1552,1552,71,126,1.48,71,13,2,2019/1/18 2:00
1553,1553,79,132,1.49,64,12,2,2019/1/18 3:00
1554,1554,79,131,1.55,64,12,2,2019/1/18 4:00
1555,1555,77,134,1.72,68,12,2,2019/1/18 5:00
1556,1556,77,138,2.15,72,14,2,2019/1/18 6:00
1557,1557,80,161,2.01,74,16,3,2019/1/18 7:00
1558,1558,87,168,1.79,73,19,6,2019/1/18 8:00
1559,1559,92,169,1.42,67,20,19,2019/1/18 9:00
1560,1560,71,152,1.14,51,16,47,2019/1/18 10:00
1561,1561,65,122,1.02,34,15,70,2019/1/18 11:00
1562,1562,53,114,0.94,30,15,81,2019/1/18 12:00
1563,1563,62,112,1,36,15,79,2019/1/18 13:00
1564,1564,75,124,1.04,44,16,74,2019/1/18 14:00
1565,1565,75,130,1.17,50,14,68,2019/1/18 15:00
1566,1566,80,153,1.28,60,14,54,2019/1/18 16:00
1567,1567,88,155,1.41,67,14,38,2019/1/18 17:00
1568,1568,95,159,1.43,68,14,38,2019/1/18 18:00
1569,1569,86,147,1.52,82,14,23,2019/1/18 19:00
1570,1570,83,136,1.63,98,13,15,2019/1/18 20:00
1571,1571,91,139,1.78,93,14,15,2019/1/18 21:00
1572,1572,86,140,1.51,84,13,12,2019/1/18 22:00
1573,1573,91,149,1.45,75,13,12,2019/1/18 23:00
1574,1574,101,150,1.38,67,14,12,2019/1/19 0:00
1575,1575,105,158,1.38,68,13,5,2019/1/19 1:00
1576,1576,108,163,1.42,69,13,4,2019/1/19 2:00
1577,1577,115,152,1.46,70,13,4,2019/1/19 3:00
1578,1578,108,156,1.49,65,13,3,2019/1/19 4:00
1579,1579,105,159,1.62,63,15,3,2019/1/19 5:00
1580,1580,96,147,1.51,60,14,4,2019/1/19 6:00
1581,1581,84,122,1.54,59,12,6,2019/1/19 7:00
1582,1582,90,133,1.56,58,13,8,2019/1/19 8:00
1583,1583,101,154,1.66,56,14,11,2019/1/19 9:00
1584,1584,108,158,1.62,50,11,18,2019/1/19 10:00
1585,1585,110,146,1.58,45,12,26,2019/1/19 11:00
1586,1586,105,151,1.55,44,12,27,2019/1/19 12:00
1587,1587,107,159,1.52,46,13,27,2019/1/19 13:00
1588,1588,108,154,1.56,52,12,20,2019/1/19 14:00
1589,1589,110,167,1.58,50,12,19,2019/1/19 15:00
1590,1590,118,176,1.7,53,12,12,2019/1/19 16:00
1591,1591,128,183,1.64,61,14,9,2019/1/19 17:00
1592,1592,125,187,1.68,66,15,5,2019/1/19 18:00
1593,1593,148,215,1.78,67,14,3,2019/1/19 19:00
1594,1594,155,211,1.81,63,14,4,2019/1/19 20:00
1595,1595,154,212,1.69,60,13,5,2019/1/19 21:00
1596,1596,155,205,1.56,54,12,8,2019/1/19 22:00
1597,1597,150,202,1.62,50,12,6,2019/1/19 23:00
1598,1598,156,213,1.71,47,13,8,2019/1/20 0:00
1599,1599,164,226,1.74,48,14,5,2019/1/20 1:00
1600,1600,168,216,2.11,50,15,3,2019/1/20 2:00
1601,1601,170,220,2.4,50,17,2,2019/1/20 3:00
1602,1602,177,228,2.45,51,17,4,2019/1/20 4:00
1603,1603,169,225,1.91,49,16,5,2019/1/20 5:00
1604,1604,160,206,1.81,44,17,13,2019/1/20 6:00
1605,1605,137,194,1.84,40,18,16,2019/1/20 7:00
1606,1606,140,191,1.7,40,21,24,2019/1/20 8:00
1607,1607,112,167,1.37,31,16,37,2019/1/20 9:00
1608,1608,72,114,1.45,36,20,37,2019/1/20 10:00
1609,1609,82,130,1.34,34,17,40,2019/1/20 11:00
1610,1610,64,117,1.59,30,17,54,2019/1/20 12:00
1611,1611,57,107,2.51,40,23,49,2019/1/20 13:00
1612,1612,66,108,2.15,36,20,58,2019/1/20 14:00
1613,1613,66,115,1.11,25,15,63,2019/1/20 15:00
1614,1614,37,86,0.94,24,12,55,2019/1/20 16:00
1615,1615,36,85,0.88,24,11,52,2019/1/20 17:00
1616,1616,36,70,0.88,33,12,41,2019/1/20 18:00
1617,1617,34,64,0.9,42,11,28,2019/1/20 19:00
1618,1618,35,63,1,55,10,14,2019/1/20 20:00
1619,1619,38,78,1.09,67,10,4,2019/1/20 21:00
1620,1620,46,93,1.16,67,12,4,2019/1/20 22:00
1621,1621,44,89,1.16,67,11,4,2019/1/20 23:00
1622,1622,52,85,1.32,64,10,3,2019/1/21 0:00
1623,1623,52,105,1.26,61,10,3,2019/1/21 1:00
1624,1624,52,69,1.31,62,10,3,2019/1/21 2:00
1625,1625,46,69,1.38,64,10,2,2019/1/21 3:00
1626,1626,47,80,1.3,66,10,3,2019/1/21 4:00
1627,1627,44,92,1.38,66,11,3,2019/1/21 5:00
1628,1628,42,79,1.6,72,13,3,2019/1/21 6:00
1629,1629,51,132,1.85,77,16,3,2019/1/21 7:00
1630,1630,53,187,1.83,78,16,7,2019/1/21 8:00
1631,1631,64,131,1.65,61,17,33,2019/1/21 9:00
1632,1632,90,131,1.54,46,17,46,2019/1/21 10:00
1633,1633,81,129,1.63,35,20,64,2019/1/21 11:00
1634,1634,,,,,,,2019/1/21 12:00
1635,1635,,,,,,,2019/1/21 13:00
1636,1636,,,,,,,2019/1/21 14:00
1637,1637,,,,,,,2019/1/21 15:00
1638,1638,,,,,,,2019/1/21 16:00
1639,1639,,,,,,,2019/1/21 17:00
1640,1640,122,175,1.29,110,15,6,2019/1/21 18:00
1641,1641,126,203,1.18,110,16,4,2019/1/21 19:00
1642,1642,141,190,1.07,106,16,3,2019/1/21 20:00
1643,1643,129,194,1.07,101,16,4,2019/1/21 21:00
1644,1644,143,196,1.01,93,15,4,2019/1/21 22:00
1645,1645,135,183,1.01,91,14,3,2019/1/21 23:00
1646,1646,136,198,1.03,83,14,3,2019/1/22 0:00
1647,1647,128,183,1.06,79,15,3,2019/1/22 1:00
